representation,clustering_method,forensic_interpretability_score,rationale,n_clusters,noise_ratio,silhouette,calinski_harabasz,davies_bouldin,source_purity,token_clarity,largest_cluster_ids
tfidf,hdbscan,5,Silhouette 0.932; 367 clusters; noise 10.7%; source purity 94.8%; top-token clarity 100.0%,367,0.10672,0.9321172833442688,18197.630034795733,0.3970752250110873,0.94794,1.0,"201, 195, 183, 236, 202"
tfidf,dbscan,5,Silhouette 0.924; 315 clusters; noise 9.9%; source purity 94.5%; top-token clarity 100.0%,315,0.09898,0.9237567186355592,50337.25704680483,0.232494313416909,0.94544,1.0,"0, 13, 10, 11, 26"
word2vec,hdbscan,5,Silhouette 0.917; 131 clusters; noise 23.4%; source purity 89.5%; top-token clarity 100.0%,131,0.23386,0.9169794917106628,4811.694293005985,2.42482772232499,0.89492,1.0,"65, 66, 77, 78, 101"
sbert,hdbscan,5,Silhouette 0.916; 196 clusters; noise 27.7%; source purity 87.7%; top-token clarity 100.0%,196,0.27714,0.91632342338562,2716.324640038527,3.740596713163879,0.87686,1.0,"115, 114, 121, 122, 131"
word2vec,dbscan,5,Silhouette 0.913; 682 clusters; noise 15.2%; source purity 92.3%; top-token clarity 100.0%,682,0.15186,0.9130724668502808,10603.726097117396,0.3679274318040281,0.9228,1.0,"0, 12, 9, 10, 22"
tfidf,agglomerative,5,Silhouette 0.791; 100 clusters; source purity 99.0%; top-token clarity 100.0%,100,0.0,0.7913590669631958,5061.968047728919,0.8940515065466706,0.98994,1.0,"95, 63, 55, 54, 46"
tfidf,kmeans,5,Silhouette 0.790; 100 clusters; source purity 98.9%; top-token clarity 100.0%,100,0.0,0.7897588014602661,5178.904548870089,0.8978845247462622,0.98926,1.0,"4, 1, 8, 16, 12"
tfidf,gmm,5,Silhouette 0.727; 100 clusters; source purity 98.8%; top-token clarity 100.0%,100,0.0,0.7265139818191528,2466.5392517618484,1.456459421208995,0.9882,1.0,"11, 3, 1, 80, 9"
word2vec,gmm,5,Silhouette 0.643; 100 clusters; source purity 97.4%; top-token clarity 100.0%,100,0.0,0.6426795721054077,949.631209787783,2.282203879713073,0.97418,1.0,"1, 19, 2, 51, 7"
word2vec,agglomerative,5,Silhouette 0.633; 100 clusters; source purity 97.7%; top-token clarity 100.0%,100,0.0,0.6328935623168945,1235.5214735536763,1.4880555539387157,0.97676,1.0,"79, 71, 49, 27, 84"
word2vec,kmeans,5,Silhouette 0.616; 100 clusters; source purity 97.7%; top-token clarity 100.0%,100,0.0,0.6155778169631958,1308.1462807637304,1.2841619330114906,0.97684,1.0,"1, 4, 5, 94, 23"
sbert,agglomerative,5,Silhouette 0.592; 100 clusters; source purity 97.7%; top-token clarity 100.0%,100,0.0,0.5919038653373718,744.7867268428882,1.9001306606926025,0.97746,1.0,"55, 63, 29, 53, 47"
sbert,gmm,5,Silhouette 0.591; 100 clusters; source purity 98.6%; top-token clarity 100.0%,100,0.0,0.5909072160720825,662.9661191734363,2.208945442035424,0.98594,1.0,"7, 2, 1, 6, 16"
sbert,kmeans,5,Silhouette 0.583; 100 clusters; source purity 97.9%; top-token clarity 100.0%,100,0.0,0.5827099084854126,809.699492011391,1.7674707058272272,0.97898,1.0,"1, 9, 41, 16, 32"
doc2vec,dbscan,4,Silhouette 0.535; 2 clusters; noise 3.3%; source purity 69.4%; top-token clarity 100.0%,2,0.03274,0.5350874066352844,49.55248094580283,0.7636678011925759,0.69388,1.0,"0, 1"
sbert,dbscan,4,Silhouette 0.369; 20 clusters; noise 1.5%; source purity 70.4%; top-token clarity 100.0%,20,0.01494,0.3692389130592346,185.70563268221235,0.7088887821634436,0.70446,1.0,"0, 6, 2, 11, 4"
doc2vec,agglomerative,4,Silhouette 0.002; 75 clusters; source purity 90.5%; top-token clarity 100.0%,75,0.0,0.0017301815096288,303.24229011457226,2.3776368447002487,0.90466,1.0,"12, 24, 0, 4, 61"
doc2vec,gmm,4,Silhouette -0.065; 100 clusters; source purity 93.0%; top-token clarity 100.0%,100,0.0,-0.0648043602705001,219.0490695282839,4.133121913521687,0.92992,1.0,"92, 69, 68, 75, 50"
doc2vec,hdbscan,3,Silhouette 0.403; 2 clusters; noise 26.6%; source purity 68.7%; top-token clarity 100.0%,2,0.26592,0.4028684198856354,205.67813589261127,0.986237122416781,0.68714,1.0,"0, 1"
doc2vec,kmeans,3,Silhouette 0.115; 2 clusters; source purity 78.0%; top-token clarity 100.0%,2,0.0,0.1149683073163032,708.9502811518995,6.945008406631476,0.77976,1.0,"1, 0"
