combo,mean_rank,rank_std,n_blocks,n_methods,friedman_statistic,friedman_p_value,nemenyi_alpha,nemenyi_critical_difference,friedman_significant
tfidf + hdbscan,1.2,0.44721359549995804,5,20,87.6742857142857,8.544102905302405e-11,0.05,13.259682197686583,True
tfidf + dbscan,2.2,1.0954451150103321,5,20,87.6742857142857,8.544102905302405e-11,0.05,13.259682197686583,True
sbert + hdbscan,3.0,0.7071067811865476,5,20,87.6742857142857,8.544102905302405e-11,0.05,13.259682197686583,True
word2vec + hdbscan,3.6,0.5477225575051661,5,20,87.6742857142857,8.544102905302405e-11,0.05,13.259682197686583,True
word2vec + dbscan,5.6,1.3416407864998738,5,20,87.6742857142857,8.544102905302405e-11,0.05,13.259682197686583,True
tfidf + agglomerative,6.6,1.140175425099138,5,20,87.6742857142857,8.544102905302405e-11,0.05,13.259682197686583,True
tfidf + kmeans,6.8,0.8366600265340756,5,20,87.6742857142857,8.544102905302405e-11,0.05,13.259682197686583,True
tfidf + gmm,8.2,0.8366600265340756,5,20,87.6742857142857,8.544102905302405e-11,0.05,13.259682197686583,True
word2vec + agglomerative,9.6,0.5477225575051662,5,20,87.6742857142857,8.544102905302405e-11,0.05,13.259682197686583,True
word2vec + gmm,10.8,1.3038404810405297,5,20,87.6742857142857,8.544102905302405e-11,0.05,13.259682197686583,True
word2vec + kmeans,10.8,0.4472135954999579,5,20,87.6742857142857,8.544102905302405e-11,0.05,13.259682197686583,True
sbert + agglomerative,12.4,0.5477225575051661,5,20,87.6742857142857,8.544102905302405e-11,0.05,13.259682197686583,True
doc2vec + agglomerative,13.8,7.120393247567159,5,20,87.6742857142857,8.544102905302405e-11,0.05,13.259682197686583,True
sbert + kmeans,14.0,0.7071067811865476,5,20,87.6742857142857,8.544102905302405e-11,0.05,13.259682197686583,True
sbert + gmm,14.2,1.3038404810405297,5,20,87.6742857142857,8.544102905302405e-11,0.05,13.259682197686583,True
doc2vec + dbscan,15.2,1.0954451150103321,5,20,87.6742857142857,8.544102905302405e-11,0.05,13.259682197686583,True
doc2vec + hdbscan,16.2,0.4472135954999579,5,20,87.6742857142857,8.544102905302405e-11,0.05,13.259682197686583,True
sbert + dbscan,17.4,0.5477225575051661,5,20,87.6742857142857,8.544102905302405e-11,0.05,13.259682197686583,True
doc2vec + kmeans,18.4,0.5477225575051661,5,20,87.6742857142857,8.544102905302405e-11,0.05,13.259682197686583,True
doc2vec + gmm,20.0,0.0,5,20,87.6742857142857,8.544102905302405e-11,0.05,13.259682197686583,True
